trajectory_id,source_model,example_id,domain,success_binary,success_raw,num_steps,judge_name,eval_model_name,eval_litellm_model,candidate_label,coverage_score,factuality_score,temporal_order_score,specificity_score,procedural_usefulness_score,omission_severity,hallucination_severity,main_errors,is_best,is_tie,best_summary_label,judge_rationale,gold_reference_issues,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,gold_word_count,model_word_count
045bf3ff-9077-4b86-b483-a1040a949cff,UI-TARS-0717-100step,UI-TARS-0717-100step__045bf3ff-9077-4b86-b483-a1040a949cff,gimp,False,0.0,15,claude_judge,gpt_5_5,openai/gpt-5.5,A,5,5,5,4,5,none,none,[],False,False,B,"Both summaries are faithful, complete, and accurate. They cover all key actions: handling the initial color profile dialog, multiple attempts to access Mode submenu, observing only RGB/Grayscale/Indexed options, changing precision to 32-bit floating point, retrying Mode after precision change, and terminating without success. Summary B is slightly more structured with numbered steps and includes step references, making it marginally more procedurally useful and specific, but both are excellent summaries. The difference is minor.",[],0.5864661654135339,0.24242424242424243,0.3834586466165414,0.39970099925994873,0.07731424272060394,0.23472309112548828,133,124
045bf3ff-9077-4b86-b483-a1040a949cff,UI-TARS-0717-100step,UI-TARS-0717-100step__045bf3ff-9077-4b86-b483-a1040a949cff,gimp,False,0.0,15,claude_judge,claude_sonnet_4_6,anthropic/claude-sonnet-4-6,B,5,5,5,5,5,none,none,[],True,False,B,"Both summaries are faithful, complete, and accurate. They cover all key actions: handling the initial color profile dialog, multiple attempts to access Mode submenu, observing only RGB/Grayscale/Indexed options, changing precision to 32-bit floating point, retrying Mode after precision change, and terminating without success. Summary B is slightly more structured with numbered steps and includes step references, making it marginally more procedurally useful and specific, but both are excellent summaries. The difference is minor.",[],0.46866485013623976,0.24657534246575344,0.33787465940054495,0.1661449521780014,0.046782877296209335,0.10720761120319366,133,227
04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,libreoffice_calc,False,0.0,51,claude_judge,claude_sonnet_4_6,anthropic/claude-sonnet-4-6,A,5,5,5,5,5,none,none,[],False,True,tie,"Both summaries are highly faithful, complete, and procedurally useful. They both cover: creating Sheet2, entering the four headers, entering years 2015-2019 in A2:A6, briefly switching to Sheet1 and back, entering all 15 formulas across columns B, C, and D referencing Sheet1 columns B, E, and H respectively, and the final DONE action. Both note the formula pattern correctly and mention the lack of percentage formatting. Summary B lists every individual formula explicitly while Summary A describes the pattern; both approaches are valid and neither omits important information. The differences are purely stylistic.",[],0.5693430656934307,0.16136919315403422,0.3503649635036496,0.18387803435325623,0.32921409606933594,0.2567416727542877,185,212
04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,libreoffice_calc,False,0.0,51,claude_judge,gpt_5_5,openai/gpt-5.5,B,5,5,5,5,5,none,none,[],False,True,tie,"Both summaries are highly faithful, complete, and procedurally useful. They both cover: creating Sheet2, entering the four headers, entering years 2015-2019 in A2:A6, briefly switching to Sheet1 and back, entering all 15 formulas across columns B, C, and D referencing Sheet1 columns B, E, and H respectively, and the final DONE action. Both note the formula pattern correctly and mention the lack of percentage formatting. Summary B lists every individual formula explicitly while Summary A describes the pattern; both approaches are valid and neither omits important information. The differences are purely stylistic.",[],0.5621621621621623,0.2391304347826087,0.4324324324324324,0.4194914996623993,0.32174909114837646,0.37119123339653015,185,148
045bf3ff-9077-4b86-b483-a1040a949cff,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__045bf3ff-9077-4b86-b483-a1040a949cff,gimp,False,0.0,21,claude_judge,gpt_5_5,openai/gpt-5.5,A,5,5,5,4,5,minor,none,"[{'error_type': 'omission', 'description': 'Does not mention that the agent clicked Mode twice and Color Management twice before proceeding.', 'why_it_matters': ""These repeated clicks are minor procedural details showing the agent's navigation difficulties, but they are not critical to understanding the overall flow."", 'severity': 'minor'}, {'error_type': 'omission', 'description': ""Does not explicitly mention the single-click vs double-click correction on the 'color' folder."", 'why_it_matters': ""This is a minor procedural detail that shows the agent's correction behavior, mentioned in the reference."", 'severity': 'minor'}]",False,False,B,"Both summaries are highly accurate, faithful to the trajectory, and cover all major actions and the final outcome (task not completed). Both correctly describe the initial dialog dismissal, the Mode submenu exploration, the Color Management approach, the file system navigation, and the unsuccessful termination. Summary B is slightly better because it explicitly mentions the single-click to double-click correction on the 'color' folder, which is a procedural detail present in the trajectory and reference. It also provides slightly more structured presentation with the alternative approach framing. Both summaries omit the repeated clicks on Mode and Color Management, which is a very minor omission. Overall, B edges ahead on specificity and procedural detail.",[],0.6295081967213114,0.2838283828382838,0.43278688524590164,0.40547701716423035,0.3859352171421051,0.3966693878173828,157,145
045bf3ff-9077-4b86-b483-a1040a949cff,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__045bf3ff-9077-4b86-b483-a1040a949cff,gimp,False,0.0,21,claude_judge,claude_sonnet_4_6,anthropic/claude-sonnet-4-6,B,5,5,5,5,5,minor,none,"[{'error_type': 'omission', 'description': 'Does not mention that the agent clicked Mode twice and Color Management twice.', 'why_it_matters': 'These repeated clicks show navigation difficulties but are minor procedural details.', 'severity': 'minor'}]",True,False,B,"Both summaries are highly accurate, faithful to the trajectory, and cover all major actions and the final outcome (task not completed). Both correctly describe the initial dialog dismissal, the Mode submenu exploration, the Color Management approach, the file system navigation, and the unsuccessful termination. Summary B is slightly better because it explicitly mentions the single-click to double-click correction on the 'color' folder, which is a procedural detail present in the trajectory and reference. It also provides slightly more structured presentation with the alternative approach framing. Both summaries omit the repeated clicks on Mode and Color Management, which is a very minor omission. Overall, B edges ahead on specificity and procedural detail.",[],0.6625766871165645,0.38271604938271603,0.46625766871165636,0.44186931848526,0.4437832832336426,0.4437313973903656,157,172
04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,UI-TARS-0717-100step,UI-TARS-0717-100step__04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,libreoffice_calc,False,0.0,100,claude_judge,gpt_5_5,openai/gpt-5.5,A,5,5,5,5,5,none,none,[],False,True,tie,"Both summaries are highly faithful, complete, and procedurally useful accounts of the trajectory. They both correctly describe: (1) creation of Sheet2 with headers and year values; (2) the repeated #NAME? errors from cross-sheet formulas; (3) the accidental editing on Sheet1 and undo (Summary A mentions this explicitly; Summary B mentions the drag-to-select issues); (4) the workaround of copying CA data to column E; (5) the failed fill-handle attempts and subsequent manual formula entry for B2:B6; (6) the FA data copy to column F with overwrite confirmation; (7) the persistent failures to widen column F and fix cross-sheet formulas for FA changes; (8) the incomplete state at step 100 with no FA or OA changes calculated. Summary B is slightly more structured with section headers and provides a bit more detail on the formula bar editing cycle, while Summary A is slightly more concise but equally accurate. Both mention the agent did not issue DONE and the task was incomplete. The differences are stylistic rather than substantive, making this a tie.",[],0.5950920245398774,0.27076923076923076,0.3343558282208589,0.12619607150554657,0.2810920178890228,0.20377586781978607,310,309
04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,UI-TARS-0717-100step,UI-TARS-0717-100step__04d9aeaf-7bed-4024-bedb-e10e6f00eb7f,libreoffice_calc,False,0.0,100,claude_judge,claude_sonnet_4_6,anthropic/claude-sonnet-4-6,B,5,5,5,5,5,none,none,[],False,True,tie,"Both summaries are highly faithful, complete, and procedurally useful accounts of the trajectory. They both correctly describe: (1) creation of Sheet2 with headers and year values; (2) the repeated #NAME? errors from cross-sheet formulas; (3) the accidental editing on Sheet1 and undo (Summary A mentions this explicitly; Summary B mentions the drag-to-select issues); (4) the workaround of copying CA data to column E; (5) the failed fill-handle attempts and subsequent manual formula entry for B2:B6; (6) the FA data copy to column F with overwrite confirmation; (7) the persistent failures to widen column F and fix cross-sheet formulas for FA changes; (8) the incomplete state at step 100 with no FA or OA changes calculated. Summary B is slightly more structured with section headers and provides a bit more detail on the formula bar editing cycle, while Summary A is slightly more concise but equally accurate. Both mention the agent did not issue DONE and the task was incomplete. The differences are stylistic rather than substantive, making this a tie.",[],0.5644768856447689,0.23658536585365858,0.29927007299270075,0.12662233412265778,0.2470046579837799,0.18743117153644562,310,491
08aced46-45a2-48d7-993b-ed3fb5b32302,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__08aced46-45a2-48d7-993b-ed3fb5b32302,libreoffice_impress,True,1.0,7,claude_judge,gpt_5_5,openai/gpt-5.5,A,5,5,5,4,5,none,none,[],False,False,B,"Both summaries are faithful, complete, and correctly ordered. They both capture the key actions: selecting slide 2, clicking the title placeholder, pasting 'Note', the mistaken alignment click, the correction to right-align, saving with Ctrl+S, and issuing DONE. Summary B provides slightly more specificity by mentioning the placeholder text ('Click to add Title'), the use of pyperclip.copy, and the spatial detail about clicking 'slightly to the left' for the correction. Summary A is also excellent but slightly less detailed. The difference is minor.",[],0.7067669172932332,0.39694656488549623,0.6165413533834586,0.5534212589263916,0.5856981873512268,0.5702121257781982,64,64
08aced46-45a2-48d7-993b-ed3fb5b32302,doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step__08aced46-45a2-48d7-993b-ed3fb5b32302,libreoffice_impress,True,1.0,7,claude_judge,claude_sonnet_4_6,anthropic/claude-sonnet-4-6,B,5,5,5,5,5,none,none,[],True,False,B,"Both summaries are faithful, complete, and correctly ordered. They both capture the key actions: selecting slide 2, clicking the title placeholder, pasting 'Note', the mistaken alignment click, the correction to right-align, saving with Ctrl+S, and issuing DONE. Summary B provides slightly more specificity by mentioning the placeholder text ('Click to add Title'), the use of pyperclip.copy, and the spatial detail about clicking 'slightly to the left' for the correction. Summary A is also excellent but slightly less detailed. The difference is minor.",[],0.4845814977973569,0.23111111111111113,0.37004405286343617,0.21989215910434723,0.4604925215244293,0.33853012323379517,64,154
